the	các
large	lớn
gallery	phòng trưng bày
table	bàn
register	đăng ký
however	Tuy nhiên
june	tháng sáu
october	Tháng Mười
november	tháng mười một
market	chợ
library	thư viện
really	Thực ra
action	hoạt động
start	bắt đầu
series	loạt
model	người mẫu
features	đặc trưng
air	không khí
industry	ngành công nghiệp
plan	kế hoạch
human	nhân loại
provided	cung cấp
tv	TV
yes	Đúng
required	yêu cầu
second	thứ hai
hot	nóng
accessories	phụ kiện
cost	trị giá
movie	bộ phim
forums	diễn đàn
march	bước đều
la	la
september	tháng 9
better	tốt hơn
say	nói
questions	câu hỏi
july	tháng bảy
yahoo	Yahoo
going	đang đi
medical	thuộc về y học
test	Bài kiểm tra
friend	người bạn
come	đến
dec	Tháng mười hai
server	máy chủ
pc	máy tính
study	học
application	ứng dụng
cart	xe đẩy
staff	nhân viên
articles	bài viết
san	san
feedback	nhận xét
again	lại
play	chơi
looking	đang nhìn
issues	vấn đề
april	tháng tư
never	không bao giờ
users	người dùng
complete	hoàn thành
street	đường phố
topic	đề tài
comment	bình luận
financial	tài chính
things	đồ đạc
working	đang làm việc
against	chống lại
standard	tiêu chuẩn
tax	Thuế
person	người
below	dưới
mobile	di động
less	ít hơn
got	lấy
blog	Blog
party	buổi tiệc
payment	sự chi trả
equipment	thiết bị
login	đăng nhập
student	học sinh
let	cho phép
programs	chương trình
offers	ưu đãi
legal	hợp pháp
above	bên trên
recent	gần đây
park	công viên
stores	cửa hàng
side	bên
act	hành động
problem	vấn đề
red	màu đỏ
give	đưa cho
memory	ký ức
performance	hiệu suất
social	xã hội
q	q
august	tháng tám
quote	trích dẫn
language	ngôn ngữ
story	câu chuyện
sell	bán
options	tùy chọn
experience	kinh nghiệm
rates	giá
create	tạo nên
key	chìa khóa
body	thân hình
young	trẻ
america	nước Mỹ
important	quan trọng
field	cánh đồng
few	một vài
east	phía đông
paper	giấy
single	đơn
ii	ii
age	tuổi
activities	các hoạt động
club	câu lạc bộ
example	ví dụ
girls	cô gái
additional	thêm vào
password	mật khẩu
z	z
latest	muộn nhất
something	thứ gì đó
road	đường
gift	quà
question	câu hỏi
changes	thay đổi
night	đêm
ca	ca
hard	cứng
texas	Texas
oct	tháng mười
pay	chi trả
four	bốn
poker	bài bạc
status	trạng thái
browse	duyệt qua
issue	vấn đề
range	phạm vi
building	xây dựng
seller	người bán
court	tòa án
february	tháng 2
always	luôn luôn
result	kết quả
audio	âm thanh
light	ánh sáng
write	viết
war	chiến tranh
nov	tháng mười một
offer	lời đề nghị
blue	màu xanh da trời
groups	các nhóm
al	tất cả
easy	dễ
given	được cho
files	các tập tin
event	sự kiện
release	giải phóng
analysis	Phân tích
request	lời yêu cầu
fax	số fax
china	Trung Quốc
making	làm
picture	hình ảnh
needs	nhu cầu
possible	khả thi
might	có thể
professional	chuyên nghiệp
yet	chưa
month	tháng
major	lớn lao
star	ngôi sao
areas	khu vực
future	tương lai
space	không gian
committee	ủy ban
hand	tay
sun	mặt trời
cards	thẻ
problems	các vấn đề
london	London
washington	Washington
meeting	cuộc họp
rss	rss
become	trở nên
interest	quan tâm
id	nhận dạng
child	đứa trẻ
keep	giữ
enter	đi vào
california	California
porn	khiêu dâm
share	chia sẻ
similar	tương tự
garden	vườn
schools	trường học
million	triệu
added	thêm
reference	thẩm quyền giải quyết
companies	các công ty
listed	liệt kê
baby	Đứa bé
learning	học hỏi
energy	năng lượng
run	chạy
delivery	vận chuyển
net	mạng lưới
popular	phổ biến
term	thuật ngữ
film	phim ảnh
stories	những câu chuyện
put	đặt
computers	máy tính
journal	tạp chí
reports	báo cáo
co	đồng
try	thử
welcome	Chào mừng
central	trung tâm
images	hình ảnh
president	chủ tịch
notice	để ý
god	chúa
original	nguyên bản
head	cái đầu
radio	Đài
until	cho đến khi
cell	tế bào
color	màu sắc
self	bản thân
council	hội đồng
away	xa
includes	bao gồm
track	theo dõi
australia	Châu Úc
discussion	cuộc thảo luận
archive	lưu trữ
once	một lần
others	người khác
entertainment	sự giải trí
agreement	hiệp định
format	định dạng
least	ít nhất
society	xã hội
months	tháng
log	nhật ký
safety	sự an toàn
friends	bạn
sure	Chắc chắn
faq	câu hỏi thường gặp
trade	buôn bán
edition	phiên bản
cars	xe ô tô
messages	tin nhắn
marketing	tiếp thị
tell	kể
further	hơn nữa
updated	đã cập nhật
association	sự kết hợp
able	có thể
having	đang có
provides	cung cấp
david	david
fun	vui vẻ
already	đã
green	màu xanh lá
studies	học
close	đóng
common	chung
drive	lái xe
specific	cụ thể
several	một số
gold	vàng
feb	tháng Hai
living	cuộc sống
sep	tháng chín
collection	bộ sưu tập
called	gọi điện
short	ngắn
arts	nghệ thuật
lot	nhiều
ask	hỏi
display	trưng bày
limited	giới hạn
powered	được hỗ trợ
solutions	các giải pháp
means	có nghĩa
director	giám đốc
daily	hằng ngày
beach	bãi biển
past	quá khứ
natural	tự nhiên
whether	liệu
due	quá hạn
et	và
electronics	thiết bị điện tử
five	năm
upon	trên
period	Giai đoạn
planning	lập kế hoạch
database	cơ sở dữ liệu
says	nói
official	chính thức
weather	thời tiết
mar	tháng ba
land	đất
average	trung bình
done	xong
technical	kỹ thuật
window	cửa sổ
france	Pháp
pro	chuyên nghiệp
region	vùng đất
island	hòn đảo
record	ghi
direct	trực tiếp
microsoft	microsoft
conference	hội nghị
environment	môi trường
records	Hồ sơ
st	st
district	huyện
calendar	lịch
costs	chi phí
style	phong cách
url	địa chỉ
front	đằng trước
statement	tuyên bố
update	cập nhật
parts	các bộ phận
aug	tháng tám
ever	bao giờ
downloads	lượt tải xuống
early	sớm
miles	dặm
sound	âm thanh
resource	nguồn
present	hiện tại
applications	các ứng dụng
either	hoặc
ago	trước kia
document	tài liệu
word	từ
works	làm
material	vật liệu
bill	hóa đơn
apr	tháng tư
written	bằng văn bản
talk	nói chuyện
federal	liên bang
hosting	lưu trữ
rules	quy tắc
final	cuối cùng
adult	người lớn
tickets	vé
thing	điều
centre	trung tâm
requirements	yêu cầu
via	thông qua
cheap	rẻ
nude	khỏa thân
kids	trẻ em
finance	tài chính
true	ĐÚNG VẬY
minutes	phút
else	khác
mark	đánh dấu
third	ngày thứ ba
rock	đá
gifts	những món quà
europe	Châu Âu
reading	đọc
topics	chủ đề
bad	xấu
individual	cá nhân
tips	lời khuyên
plus	thêm
auto	tự động
cover	che phủ
usually	thường xuyên
edit	biên tập
together	cùng nhau
videos	video
percent	phần trăm
fast	nhanh
function	chức năng
fact	sự thật
unit	đơn vị
getting	nhận
global	toàn cầu
tech	công nghệ
meet	gặp
far	xa
economic	thuộc kinh tế
en	vi
player	người chơi
projects	dự án
lyrics	lời bài hát
often	thường
subscribe	đặt mua
submit	nộp
germany	nước Đức
amount	số lượng
watch	đồng hồ
included	bao gồm
feel	cảm thấy
though	mặc dù
bank	ngân hàng
risk	rủi ro
thanks	Cảm ơn
everything	mọi thứ
deals	giao dịch
various	nhiều
words	từ
linux	linux
jul	tháng bảy
production	sản xuất
commercial	thuộc về thương mại
james	James
weight	cân nặng
town	thị trấn
heart	trái tim
advertising	quảng cáo
received	đã nhận
choose	chọn
treatment	sự đối đãi
newsletter	bản tin
archives	kho lưu trữ
points	điểm
knowledge	kiến thức
magazine	tạp chí
error	lỗi
camera	Máy ảnh
jun	tháng sáu
girl	con gái
currently	Hiện nay
construction	sự thi công
toys	đồ chơi
registered	đăng ký
clear	thông thoáng
golf	golf
receive	nhận được
domain	lãnh địa
methods	phương pháp
chapter	chương
makes	làm cho
protection	sự bảo vệ
policies	chính sách
loan	khoản vay
wide	rộng
beauty	sắc đẹp
manager	giám đốc
india	Ấn Độ
position	chức vụ
taken	lấy
sort	loại
listings	danh sách
models	mô hình
michael	Michael
known	được biết đến
half	một nửa
cases	các trường hợp
step	bước chân
engineering	kỹ thuật
florida	Florida
simple	đơn giản
quick	nhanh
none	không có
wireless	không dây
license	giấy phép
paul	Paul
friday	Thứ sáu
lake	hồ
whole	trọn
annual	hàng năm
published	được phát hành
later	sau đó
basic	nền tảng
sony	sony
shows	trình diễn
corporate	công ty
google	Google
church	nhà thờ
method	phương pháp
purchase	mua
customers	khách hàng
active	tích cực
response	phản ứng
practice	luyện tập
hardware	phần cứng
figure	nhân vật
materials	nguyên vật liệu
fire	ngọn lửa
holiday	ngày lễ
chat	trò chuyện
enough	đủ
designed	được thiết kế
along	dọc theo
among	giữa
death	cái chết
writing	viết
speed	tốc độ
html	html
countries	Quốc gia
loss	sự mất mát
face	khuôn mặt
brand	thương hiệu
discount	giảm giá
higher	cao hơn
effects	các hiệu ứng
created	tạo
remember	nhớ
standards	tiêu chuẩn
oil	dầu
bit	chút
yellow	màu vàng
political	thuộc về chính trị
increase	tăng
advertise	Quảng cáo
kingdom	Vương quốc
base	căn cứ
near	gần
environmental	thuộc về môi trường
thought	nghĩ
stuff	chất liệu
french	người Pháp
storage	kho
oh	Ồ
japan	Nhật Bản
doing	đang làm
loans	khoản vay
shoes	đôi giày
entry	lối vào
stay	ở lại
nature	thiên nhiên
orders	mệnh lệnh
availability	khả dụng
africa	Châu phi
summary	bản tóm tắt
turn	xoay
mean	nghĩa là
growth	sự phát triển
notes	ghi chú
agency	hãng
king	nhà vua
monday	Thứ hai
european	Châu Âu
activity	hoạt động
copy	sao chép
although	mặc dù
drug	thuốc
pics	bức ảnh
western	miền Tây
income	thu nhập
force	lực lượng
cash	tiền mặt
employment	thuê người làm
overall	tổng thể
bay	vịnh
river	dòng sông
commission	nhiệm vụ
ad	quảng cáo
package	bưu kiện
contents	nội dung
seen	đã xem
players	người chơi
engine	động cơ
port	Hải cảng
album	album
regional	khu vực
stop	dừng lại
supplies	quân nhu
started	đã bắt đầu
administration	sự quản lý
bar	quán ba
institute	học viện
views	lượt xem
plans	các kế hoạch
double	gấp đôi
dog	chó
build	xây dựng
screen	màn hình
exchange	trao đổi
types	các loại
soon	sớm
sponsored	được tài trợ
lines	dòng
electronic	điện tử
continue	Tiếp tục
across	sang
benefits	những lợi ích
needed	cần thiết
season	mùa
apply	áp dụng
someone	người nào đó
held	cầm
ny	này
anything	bất cứ điều gì
printer	máy in
condition	tình trạng
effective	hiệu quả
believe	tin tưởng
organization	tổ chức
effect	tác dụng
asked	yêu cầu
eur	eur
mind	tâm trí
sunday	chủ nhật
selection	lựa chọn
casino	sòng bạc
pdf	pdf
lost	mất
tour	chuyến du lịch
menu	thực đơn
volume	âm lượng
cross	đi qua
anyone	bất cứ ai
mortgage	thế chấp
hope	mong
silver	bạc
corporation	tập đoàn
wish	ước
inside	bên trong
solution	giải pháp
mature	trưởng thành
role	vai trò
rather	hơn là
weeks	tuần
addition	phép cộng
came	đã đến
supply	cung cấp
nothing	Không có gì
certain	chắc chắn
usr	sử dụng
executive	điều hành
running	đang chạy
lower	thấp hơn
necessary	cần thiết
union	liên hiệp
jewelry	trang sức
according	theo
dc	dc
clothing	quần áo
mon	Thứ hai
com	com
particular	cụ thể
fine	khỏe
names	tên
robert	Robert
homepage	trang chủ
hour	giờ
gas	khí ga
skills	kỹ năng
six	sáu
bush	bụi cây
islands	hòn đảo
advice	khuyên bảo
career	sự nghiệp
military	quân đội
rental	cho thuê
decision	phán quyết
leave	rời khỏi
british	người Anh
teens	thanh thiếu niên
pre	trước
huge	to lớn
sat	đã ngồi
woman	đàn bà
facilities	cơ sở
zip	zip
bid	đấu thầu
kind	loại
sellers	người bán hàng
middle	ở giữa
move	di chuyển
cable	cáp
opportunities	những cơ hội
taking	đang lấy
values	giá trị
division	phân công
coming	đang tới
tuesday	Thứ ba
object	sự vật
lesbian	đồng tính nữ
appropriate	phù hợp
machine	máy móc
logo	Logo
length	chiều dài
actually	Thực ra
nice	Đẹp
score	điểm
statistics	số liệu thống kê
client	khách hàng
ok	Được rồi
returns	trả lại
capital	thủ đô
follow	theo
sample	vật mẫu
investment	sự đầu tư
sent	đã gửi
shown	cho xem
saturday	Thứ bảy
christmas	Giáng sinh
england	nước Anh
culture	văn hoá
band	ban nhạc
flash	tốc biến
ms	bệnh đa xơ cứng
lead	chỉ huy
george	George
choice	sự lựa chọn
went	đi
starting	bắt đầu
registration	sự đăng ký
fri	thứ sáu
thursday	thứ năm
courses	các khóa học
consumer	người tiêu dùng
hi	CHÀO
airport	sân bay
foreign	nước ngoài
artist	nghệ sĩ
outside	ngoài
furniture	nội thất
levels	cấp độ
channel	kênh
letter	thư
mode	cách thức
phones	những cái điện thoại
ideas	ý tưởng
wednesday	Thứ Tư
structure	kết cấu
fund	quỹ
summer	mùa hè
allow	cho phép
degree	bằng cấp
contract	hợp đồng
button	cái nút
releases	phát hành
wed	Thứ Tư
homes	nhà
super	siêu
male	nam giới
matter	vấn đề
custom	phong tục
virginia	Virginia
almost	hầu hết
took	lấy đi
located	xác định vị trí
multiple	nhiều
asian	Châu Á
distribution	phân bổ
editor	biên tập viên
inn	nhà trọ
industrial	công nghiệp
cause	gây ra
potential	tiềm năng
song	bài hát
cnet	Cnet
ltd	công ty TNHH
los	thua
hp	hp
focus	tập trung
late	muộn
fall	ngã
featured	đặc sắc
idea	ý tưởng
rooms	phòng
female	nữ giới
responsible	chịu trách nhiệm
inc	inc
communications	thông tin liên lạc
win	thắng
associated	có liên quan
thomas	thomas
primary	sơ đẳng
cancer	bệnh ung thư
numbers	con số
reason	lý do
tool	dụng cụ
browser	trình duyệt
spring	mùa xuân
foundation	sự thành lập
answer	trả lời
voice	tiếng nói
eg	ví dụ
friendly	thân thiện
schedule	lịch trình
documents	các tài liệu
communication	giao tiếp
purpose	mục đích
feature	tính năng
bed	giường
comes	đến
police	cảnh sát
everyone	mọi người
independent	độc lập
ip	ip
approach	tiếp cận
cameras	máy ảnh
brown	màu nâu
physical	thuộc vật chất
operating	điều hành
hill	đồi
maps	bản đồ
medicine	thuốc
deal	thỏa thuận
hold	giữ
ratings	xếp hạng
chicago	Chicago
forms	các hình thức
glass	thủy tinh
happy	vui mừng
tue	thứ ba
smith	thợ rèn
wanted	muốn
developed	đã phát triển
thank	cám ơn
safe	an toàn
unique	độc nhất
survey	sự khảo sát
prior	trước
telephone	Điện thoại
sport	thể thao
ready	sẵn sàng
feed	cho ăn
animal	động vật
sources	nguồn
mexico	Mexico
population	dân số
pa	bố
regular	thường xuyên
secure	chắc chắn
navigation	dẫn đường
operations	hoạt động
therefore	Vì vậy
ass	mông
simply	đơn giản
evidence	chứng cớ
station	ga tàu
christian	người theo đạo thiên chúa
round	tròn
paypal	paypal
favorite	yêu thích
understand	hiểu
option	lựa chọn
master	bậc thầy
valley	thung lũng
recently	gần đây
probably	có lẽ
thu	thu
rentals	tiền thuê nhà
sea	biển
built	được xây dựng
publications	ấn phẩm
blood	máu
cut	cắt
worldwide	trên toàn thế giới
improve	cải thiện
connection	sự liên quan
publisher	nhà xuất bản
hall	sảnh
larger	lớn hơn
anti	chống
networks	mạng lưới
earth	trái đất
parents	cha mẹ
nokia	nokia
impact	sự va chạm
transfer	chuyển khoản
introduction	giới thiệu
kitchen	phòng bếp
strong	mạnh
tel	điện thoại
carolina	Carolina
wedding	lễ cưới
properties	của cải
hospital	bệnh viện
ground	đất
overview	Tổng quan
ship	tàu thủy
accommodation	chỗ ở
owners	những chủ sở hữu
disease	bệnh
tx	tx
excellent	xuất sắc
paid	trả
italy	Nước Ý
perfect	hoàn hảo
hair	tóc
opportunity	cơ hội
kit	bộ dụng cụ
classic	cổ điển
basis	nền tảng
command	yêu cầu
cities	các thành phố
william	William
express	thể hiện
anal	hậu môn
award	phần thưởng
distance	khoảng cách
tree	cây
peter	Peter
assessment	đánh giá
ensure	đảm bảo
thus	do đó
wall	tường
ie	I E
involved	có liên quan
el	el
extra	thêm
especially	đặc biệt
interface	giao diện
pussy	âm hộ
partners	đối tác
budget	ngân sách
rated	đánh giá
guides	hướng dẫn
success	thành công
maximum	tối đa
ma	mẹ
operation	hoạt động
existing	hiện có
quite	khá
selected	đã chọn
boy	con trai
amazon	amazon
patients	người bệnh
restaurants	nhà hàng
beautiful	xinh đẹp
warning	cảnh báo
wine	rượu
locations	địa điểm
horse	ngựa
vote	bỏ phiếu
forward	phía trước
flowers	những bông hoa
stars	ngôi sao
significant	có ý nghĩa
lists	danh sách
technologies	công nghệ
owner	người sở hữu
retail	bán lẻ
animals	động vật
useful	hữu ích
directly	trực tiếp
manufacturer	nhà chế tạo
ways	cách
est	ước tính
son	Con trai
providing	cung cấp
rule	luật lệ
mac	mac
housing	nhà ở
takes	nhận
iii	iii
gmt	gmt
bring	mang đến
catalog	mục lục
searches	tìm kiếm
max	tối đa
trying	cố gắng
mother	mẹ
authority	thẩm quyền
considered	được xem xét
told	nói
xml	xml
traffic	giao thông
programme	chương trình
joined	đã tham gia
input	đầu vào
strategy	chiến lược
feet	bàn chân
agent	đại lý
valid	có hiệu lực
bin	thùng rác
modern	hiện đại
senior	người lớn tuổi
ireland	Ireland
teaching	giảng bài
door	cửa
grand	vĩ đại
testing	thử nghiệm
trial	sự thử nghiệm
charge	thù lao
units	các đơn vị
instead	thay vì
canadian	người Canada
cool	mát mẻ
normal	Bình thường
wrote	đã viết
enterprise	doanh nghiệp
ships	tàu thuyền
entire	toàn bộ
educational	giáo dục
md	md
leading	dẫn đầu
metal	kim loại
positive	tích cực
fl	fl
fitness	sự thích hợp
chinese	người Trung Quốc
opinion	ý kiến
mb	mb
asia	Châu Á
football	bóng đá
abstract	trừu tượng
uses	công dụng
output	đầu ra
funds	quỹ
mr	Ông
greater	lớn hơn
likely	rất có thể
develop	phát triển
employees	người lao động
artists	nghệ sĩ
alternative	thay thế
processing	xử lý
responsibility	trách nhiệm
resolution	nghị quyết
java	java
guest	khách mời
seems	có vẻ như
publication	sự xuất bản
pass	vượt qua
relations	quan hệ
trust	lòng tin
van	xe tải
contains	chứa
session	phiên họp
multi	đa
photography	nhiếp ảnh
republic	nước cộng hòa
fees	lệ phí
components	các thành phần
vacation	kì nghỉ
century	thế kỷ
academic	học thuật
assistance	hỗ trợ
completed	hoàn thành
skin	da
graphics	đồ họa
indian	người Ấn Độ
prev	trước
ads	Quảng cáo
mary	mary
il	Il
expected	hy vọng
ring	nhẫn
grade	cấp
dating	hẹn hò
pacific	thái bình dương
mountain	núi
organizations	tổ chức
pop	nhạc pop
filter	lọc
mailing	gửi thư
vehicle	phương tiện giao thông
longer	lâu hơn
consider	coi như
int	int
northern	Phương bắc
behind	phía sau
panel	bảng điều khiển
floor	sàn nhà
german	tiếng Đức
buying	mua
match	cuộc thi đấu
proposed	đề xuất
default	mặc định
require	yêu cầu
iraq	Irắc
boys	những cậu bé
outdoor	ngoài trời
deep	sâu
morning	buổi sáng
otherwise	nếu không thì
allows	cho phép
rest	nghỉ ngơi
protein	chất đạm
plant	thực vật
reported	đã báo cáo
hit	đánh
transportation	vận tải
mm	mm
pool	hồ bơi
mini	nhỏ
politics	chính trị
partner	cộng sự
disclaimer	từ chối trách nhiệm
authors	tác giả
boards	bảng
faculty	khoa
parties	các bữa tiệc
fish	cá
membership	tư cách thành viên
mission	Sứ mệnh
eye	mắt
string	sợi dây
sense	giác quan
modified	đã sửa đổi
pack	đóng gói
released	phát hành
stage	sân khấu
internal	nội bộ
goods	Các mặt hàng
recommended	khuyến khích
born	sinh ra
unless	Trừ khi
richard	Richard
detailed	chi tiết
japanese	tiếng Nhật
race	loài
approved	tán thành
background	lý lịch
target	mục tiêu
except	ngoại trừ
character	tính cách
usb	USB
maintenance	BẢO TRÌ
ability	khả năng
maybe	Có lẽ
functions	chức năng
ed	ed
moving	di chuyển
brands	nhãn hiệu
places	địa điểm
php	php
pretty	đẹp
trademarks	nhãn hiệu
phentermine	thuốc phentermin
spain	tây ban nha
southern	phía Nam
yourself	bản thân bạn
etc	vân vân
winter	mùa đông
rape	hiếp dâm
battery	ắc quy
youth	thiếu niên
pressure	áp lực
submitted	đã gửi
boston	boston
incest	loạn luân
debt	món nợ
keywords	từ khóa
medium	trung bình
television	tivi
interested	thú vị
core	cốt lõi
break	phá vỡ
purposes	mục đích
throughout	khắp
sets	bộ
dance	nhảy
wood	gỗ
msn	msn
itself	chính nó
defined	được xác định
papers	giấy tờ
playing	đang chơi
awards	giải thưởng
fee	phí
studio	phòng thu
reader	người đọc
virtual	ảo
device	thiết bị
established	thành lập
answers	câu trả lời
rent	thuê
las	las
remote	xa
dark	tối tăm
programming	lập trình
external	bên ngoài
apple	quả táo
le	le
regarding	về
instructions	hướng dẫn
min	phút
offered	ngỏ ý
theory	lý thuyết
enjoy	thưởng thức
remove	di dời
aid	sự giúp đỡ
surface	bề mặt
minimum	tối thiểu
visual	thị giác
host	chủ nhà
variety	đa dạng
teachers	giáo viên
isbn	isbn
martin	Martin
manual	thủ công
block	khối
subjects	đối tượng
agents	đại lý
increased	tăng
repair	Sửa chữa
fair	hội chợ
civil	dân sự
steel	Thép
understanding	sự hiểu biết
songs	bài hát
fixed	đã sửa
wrong	sai
beginning	sự khởi đầu
hands	bàn tay
associates	cộng sự
finally	Cuối cùng
az	az
updates	cập nhật
desktop	máy tính để bàn
